40.4401460093,-79.995681134,99,99
40.4792315167,-80.0326447313,41,40
40.451304981,-79.9999632263,90,83
40.4650082136,-79.9277044448,83,66
40.4344649653,-79.9264150181,90,51
40.428593939,-79.978543996,95,64
40.4216769644,-80.0188501383,6,57
40.4727243873,-79.9622866161,77,49
40.4549005234,-79.9998172437,90,71
40.465028543,-79.9609328861,87,60
40.4530601283,-80.0003682912,91,78
40.4369428381,-79.983359084,83,81
40.4292232315,-79.9871820002,89,73
40.4358949059,-80.070545491,70,46
40.4423207806,-79.919120884,79,54
40.4016343659,-79.9933036815,46,56
40.4629213159,-79.9342852877,89,67
40.4280949315,-79.9428746356,58,42
40.4681729213,-79.9897094794,61,36
40.4929134335,-80.0149524313,21,42
40.4253494192,-79.9817362464,84,58
40.4605285239,-79.9364483078,86,68
40.4534042498,-79.9141078562,74,67
40.4426446876,-79.9815562778,82,81
40.4296104648,-80.0077437118,79,77
40.4260660488,-79.8521782951,27,29
40.4268932503,-79.9875389768,85,65
40.4245747534,-79.9781436707,86,57
40.4539416366,-79.9803988527,73,60
40.5043232276,-80.0861200627,20,36
40.4810471389,-79.9461680288,55,39
40.4753722894,-79.9245918763,64,45
40.4527130802,-80.0054027084,90,82
40.4241516933,-79.9325460436,76,47
40.4190281557,-79.9303155532,64,47
40.4253642547,-79.9866832613,73,59
40.4310058355,-79.953825582,60,59
40.4227214637,-80.0051829982,57,67
40.424704937,-80.0108689856,62,67
40.4225627869,-79.9717317216,75,49
40.3915255434,-80.0148151544,69,28
40.4380895446,-79.9562642191,94,70
40.4238661562,-79.8759254776,47,46
40.3611797105,-80.0605632624,34,21
40.4335582805,-79.9568678658,85,67
40.4667189707,-79.9214229521,77,63
40.4603568445,-79.9238190168,95,69
40.3982870617,-80.0129215733,25,44
40.4460843218,-80.1146644392,6,20
40.4469356132,-80.0424671097,30,44
40.4582504898,-79.937736802,87,68
40.4365074303,-79.9996731503,98,98
40.4651202939,-79.9529789562,92,56
40.4340042297,-80.019267301,58,63
40.4209526001,-80.0008360081,59,66
40.4284333215,-79.8973897959,46,40
40.4318835592,-79.8748741449,21,47
40.4279036582,-80.0997523597,23,10
40.4736222025,-79.9236465211,69,48
40.432929238,-80.0111852982,77,78
40.4526608567,-79.9332935494,96,72
40.4651673878,-79.9328756451,84,64
40.511403475,-80.0261558551,36,38
40.416292003,-80.0253830088,47,52
40.4296434828,-79.9528381957,54,53
40.430271134,-80.0053227997,74,81
40.4492056223,-79.9311725089,90,68
